[125.00-154.98] Продолжение следует...
[150.00-152.88] Появился в Казахстане.
[250.00-279.52] Всем привет! [279.52-250.00]  [250.24-NA] и в субботу.
[3225.00-3229.56] Вместился батч S6, который состоял всего из двух токенов условно. [3231.12-3235.84] Здесь вместился S5, который тоже из двух токенов состоял, при этом из трех. [3237.50-3239.72] Это из двух, наверное, а тут просто падинг. [3240.48-3243.98] И мы таким образом сильно скомпонуем наше пространство батчей, [3244.14-3246.88] которые мы подаем нашу ломку, и сильно быстрее посчитаем. [3247.00-3250.32] При этом мы будем очень хорошо знать, где у нас что заканчивается, [3250.32-3253.70] потому что мы специальные токены будем использовать, которые end-of-sentence являются. [3254.62-3225.00]  [3226.00-3227.00] Это флешмобильный инструмент, который позволяет пользователям внести в себя вред. [3227.00-3228.00] Это флешмобильный инструмент, который позволяет пользователям [3228.00-3229.00] внести в себя вред. [3229.00-3230.00] Это флешмобильный инструмент, который позволяет пользователям [3230.00-3231.00] внести в себя вред. [3231.00-3232.00] Это флешмобильный инструмент, который позволяет пользователям [3232.00-3233.00] внести в себя вред. [3233.00-3234.00] Это флешмобильный инструмент, который позволяет пользователям [3234.00-3235.00] внести вред. [3235.00-3236.00] Это флешмобильный инструмент, который позволяет пользователям [3236.00-3237.00] внести вред. [3237.00-3238.00] Это флешмобильный инструмент, который позволяет пользователям [3238.00-3239.00] внести вред. [3239.00-3240.00] Это флешмобильный инструмент, который позволяет пользователям [3240.00-3241.00] внести вред. [3241.00-3242.00] Это флешмобильный инструмент, который позволяет пользователям [3242.00-3243.00] внести вред.
[3250.00-3255.04] потому что мы специальные токены будем использовать которые end of sentence являются это flash [3255.04-3261.82] attention их целое семейство тоже сегодня подробно не поговорим это page detention он ничего общего [3261.82-3267.98] с словом attention вообще не имеет но подход очень интересный я отдельно статью тут оставил на эту [3267.98-3276.16] всю историю но мы смотреть на него не будем там квантизованные лоры интересные методы квантизации [3276.16-3250.00]  [3252.92-NA] лампок на int8.
[3275.00-3279.04] методы квантизации лмок на int8. [3280.76-3283.18] Это использование, там, k-bit precision, [3283.70-3289.10] для того, чтобы, там, как-то заквантить наши параметры, [3289.22-3290.78] при этом не сильно поменять в качестве. [3291.36-3293.08] Я, кстати, наверное, отдельную скину, [3293.44-3294.94] сегодня тоже на смотреть на это не будем. [3295.62-3296.72] Фьюзирование слоев. [3296.72-3299.80] Это больше архитектурная, конечно, история, нежели чем мерч. [3299.98-3302.60] Но зачастую это используется, [3302.80-3275.00]  [3279.32-NA] когда несколько слоев у нас просто помощи
[3300.00-3306.24] но зачастую это используется, когда несколько слоев у нас просто по мощности обвиняются условно в один, [3306.46-3307.58] и быстрее считаться начинает. [3308.06-3312.68] И есть целые фреймворки для оптимизации, это там Petals и Swarm, [3313.40-3316.10] но давайте начнем с Flash Attention. [3316.88-3319.22] Здесь не сильно устали, но не так много осталось. [3322.70-3325.86] Нет, это тот бач, который мы подаем на вход, а ла-лам. [3327.18-3300.00]  [3304.14-NA] Поэтому мы тут просто определенным образом...
[3325.00-3332.86] на вход и лалом поэтому мы тут просто определенным образом синие то паттинги насколько понимаю либо [3332.86-3339.22] какие-то специальные токены красные это end of sentence там желтые это собственно те данные [3339.22-3347.94] которые мы хотим подать просто это как пример компоновки бача когда мы вместо там весь у нас [3347.94-3325.00]  [3332.02-NA] к примеру весь наш вся наш весь наш бач зак
[3350.00-3358.44] Весь наш батч заканчивается, к примеру, на S6, то есть шестое там предложение. [3358.44-3362.60] Мы укомпоновали, на самом деле, всего в четыре, хотя их было изначально шесть, [3362.60-3365.88] просто было очень много паддингов, пробелов, которые нам особо не нужны, [3365.88-3370.34] и мы это все дело скомпоновали, continuous patching здесь хорошо работает. [3372.10-3350.00]  [3355.46-3359.66] Начнем с Flash Attention. Это такая супер база для всех LLM.
[3375.00-3382.32] Это такая супер база для всех LLM-ок, сервисов и так далее, которые используются. [3382.32-3391.24] Она по своим результатам в целом сильно меняет тренинг тайм, она меняет инференс тайм в том числе. [3391.24-3398.52] Какие-то модельки, обученные Flash Attention, обычно показывают рост производительности в три с половиной раза. [3398.52-3375.00]  [3377.76-3381.48] С чем это вдруг связано? С тем, что у нас подсчет нашего социального сообщества
[3400.00-3408.28] это вдруг связано с тем что у нас подсчет нашего салфеттен шина на самом деле он очень не [3408.28-3415.04] оптимизирован по памяти от слова совсем у него есть несколько операций операция там матричного [3415.04-3421.66] перемножения операция взять и софт макса и операции еще одного матричного там перемножения но не суть [3421.66-3428.92] важно какого потому что она нигде в целом особо не оптимизируется вот и на самом деле подсчет софт [3428.92-3400.00]  [3401.08-NA] Макса и вот этот.
[3425.00-3431.20] И на самом деле почет софтмакса и вот это матричное приложение, [3431.20-3435.38] которое первое наших коверисов, очень затратное. [3435.38-3439.58] И обычно, как оно делается во всех фреймворках, они [3439.58-3447.50] ее пихают в называемую там «Hardband with Memory» внутри GPU. [3447.50-3453.54] Нашу GPU можно представить как какую-то consistent память, [3453.54-3425.00]  [3426.44-NA] какой-то, как будто бы жесткий дебил.
[3450.00-3456.84] какую-то consistent память наш какой-то как будто бы жесткий диск внутри джипу и есть какая-то [3456.84-3464.62] оперативка внутри джипу несмотря на то что полтора терабайта в секунду кажется гопухи это все равно [3464.62-3471.76] этого какие скорости но на самом деле на огромных там пайлов данных и так далее это сильно замедляет [3471.76-3477.40] процесс там и обучение всего остального когда у нас при этом есть очень маленькая потому что там [3477.40-3450.00]  [3452.58-NA] там всего 20 мб обычно, но при этом очень много.
[3475.00-3480.58] при этом есть очень маленькая потому что там всего 20 гигабайт обычно но при этом очень пропускная по [3480.58-3491.02] своей способности виртуальная память внутри нашей гипухи и flash attention они очень эффективно [3491.02-3497.14] научились работать с этим небольшим кусочком как раз таки связанным с видео оперативной памятью [3497.14-3475.00]  [3482.38-NA] они вся основная суть почему вдруг этот кусочек стал использоваться
[3500.00-3504.70] Вся основная суть, почему вдруг этот кусочек стал использоваться, [3505.04-3508.34] ведь на него вроде не положишь целую матрицу, [3508.34-3515.30] а это в рамках самой первой реализации Flash Attention, [3515.76-3520.78] в рамках перемножения матриц использования тайлинга, [3521.82-3527.94] когда мы вместо подсчетов, когда мы считаем Q на K, [3528.16-3500.00]  [3501.96-NA] мы обычно там матрицу перемножаем
[3525.00-3529.90] Когда мы считаем Q на K, мы обычно матрицу перемножаем, [3530.04-3531.66] как мы знаем, как мы их перемножаем. [3531.66-3534.32] Там используется просто более эффективный метод, [3534.70-3539.80] который резко сокращает количество операций, но это окей. [3541.52-3548.66] В рамках подсчета как раз-таки Softmax используется так называемый онлайн Softmax, [3549.58-3552.66] который считается у нас рекуррентно. [3553.52-3525.00]  [3527.32-NA] И именно благодаря сфере развития, мы можем сделать
[3550.00-3558.34] считается у нас рекуррентно, и именно благодаря свойству рекуррентности при подсчете онлайн софтмакса [3558.34-3567.78] мы очень хорошо и эффективно умеем хранить информацию как раз-таки о текущем рекуррентном состоянии этого софтмакса [3567.78-3576.04] в очень быстрой памяти, и это нам позволяет как раз-таки вот эти две операции тайлинга и онлайн софтмакса, [3576.22-3550.00]  [3553.82-NA] во-первых, не просто быстро считать, так еще и
[3575.00-3582.56] онлайн софтмакса во-первых не просто быстро считать так еще и производить вычисления на одном ядре гпу [3582.56-3591.00] при всем при этом прошлое все наши вычисления они слова парализовались сейчас это проявляются [3591.00-3597.32] просто прекрасно так что вот на одном там ядре гпу это все дело считается и виду как раз таки [3597.32-3575.00]  [3582.50-NA] этого мы заметили там сильный прирост flash оттеншин 2 flash оттеншин 3 и по там
[3600.00-3607.80] Flash Attention 2, Flash Attention 3 и прочие какие-то модернизации подобных флешей, [3608.18-3614.58] они так или иначе продолжают идею авторов изначального Flash Attention. [3615.24-3620.38] Но Flash Attention сейчас в той или иной реализации нет ни одной, наверное, лампки, [3620.38-3621.84] которая бы не использовала его. [3623.08-3623.84] Не знаю, правда. [3624.40-3625.58] Поэтому он сейчас везде. [3627.10-3629.80] И при этом все мы не теряем качество от слова совсем никак, [3629.96-3600.00]  [3601.00-NA] рак.
[3625.00-3631.06] сейчас везде и при этом все мы не теряем качестве от слова совсем никак потому что мы получаем ровно [3631.06-3637.72] тот же результат то есть это действительно очень хорошая оптимизация работы алгоритма причем не по [3637.72-3643.32] там какой-то компетенции на класт то есть мы в целом имеем ту же сложность алгоритма которые [3643.32-3649.42] была у нас до этого мы очень сильно имеем ниже требования по памяти которые требуются нам для [3649.42-3625.00]  [3628.04-NA] для подсчета как раз-таки Attention Scarf.
[3650.00-3660.98] как раз таки attention скоров ну и теперь кого кэш стараюсь быстренько по нему пройти идея очень [3660.98-3666.68] простая как у нас работает лампка у нас есть изначальный какой-то запрос это примеру два [3666.68-3674.96] плюс два она отсылается лампки лампка генерирует будет теперь два плюс два будет равно два плюс [3674.96-3650.00]  [3655.00-NA] 2 равно 4 по виду того что ну ломка у нас обычно это деколь
[3675.00-3682.44] равно 4 по виду того что новая лампу у нас обычно это декодер она всегда берет какое-то предыдущее [3682.44-3688.60] свое состояние и на основании это предыдущее состояние генерирует следующий токен и так [3688.60-3698.10] итеративно недурно можно заметить что на самом деле у нас есть в достаточно повторяющиеся куски [3698.10-3675.00]  [3681.72-NA] даже не так мы вот эти все куски
[3700.00-3702.82] Точнее, даже не так. [3702.82-3707.22] Мы вот эти все куски, которые у нас были там в качестве [3707.22-3711.16] запроса, в качестве ответа, мы можем очень эффективно [3711.16-3712.16] где-то хранить. [3712.16-3715.60] Уже не дурно как идея. [3715.60-3719.82] А теперь развеем эту идею совсем до крайностей. [3719.82-3722.96] А почему бы нам просто вот эти куски кода не хранить [3722.96-3726.40] в каком-то кэше, который у нас будет постоянно обновляться, [3726.40-3729.38] а именно этот кэш, который у нас всегда заложен как [3729.38-3700.00]  [3701.00-NA] значения.
[3725.00-3730.76] постоянно обновляться а именно этот кэш который у нас всегда заложен как значение мы будем подавать [3730.76-3742.46] всегда в л.м. качестве входного какого-то контекста то есть просто базового хранить этот весь кэш [3742.46-3751.78] будет куда удобнее и куда более быстрой какой-то реализации чем мы будем заново скармливать модели [3751.78-3725.00]  [3728.42-NA] или весь предыдущий какой-то контекст, ведь у нас в целом есть...
[3750.00-3756.60] заново скармливать модели весь предыдущий какой-то контекст ведь у нас в целом есть по киваю уже [3756.60-3766.08] какие-то данные от модели которые мы можем есть достаточно эффективно скармливать это особенно [3766.08-3774.96] важно для time to first о кино но точнее наоборот не сильно важно потому что у нас первый контекст [3774.96-3750.00]  [3753.42-3754.68] текст декодинга у нас никуда не пойдет, у нас ковер-краш появится только после этого.
[3775.00-3779.66] текст-декодинг у нас никуда не пойдет, у нас KV-кэш появится только после этого. [3780.12-3783.02] Однако этот способ сильно увеличивает ТПС, [3785.28-3791.42] но в целом особо сильно никак не влияет в своем первоначальном виде на использование памяти. [3791.82-3796.90] У нас все равно резервируется больше 30% на любой видюхе под KV-кэш. [3796.90-3775.00]  [3783.10-NA] Однако, что очень важно, что вдруг научились его очень хорошо квантизовывать и оптимизировать.
[3800.00-3805.08] что вдруг научились его очень хорошо квантизовывать и оптимизировать. [3805.88-3810.74] У нас была проблема, что изначально веса модели при маленьких контекстах, [3811.52-3817.48] то есть при маленьком кавэкэше, они у нас занимали большую часть памяти, [3817.88-3822.26] понятное дело, но этот кавэкэш при больших контекстах сильно растет, [3822.86-3827.00] так что у нас не хватает памяти на эффективное хранение весов. [3827.34-3800.00]  [3802.98-NA] И поэтому научились кавыкаш-квантификации.
[3825.00-3833.58] памяти на эффективное хранение весов не поэтому научились кого кэш квантизовать причем с помощью [3833.58-3842.90] квантизации кого кэша можно во-первых сохранить те же самые результаты по модели которые используются [3842.90-3850.24] но при этом сильно сократив потребление памяти на хранение кого кэша и текущие как раз таки [3850.24-3825.00]  [3829.76-NA] О реализации квантизации КВ-кавша, КВ-квант просто
[3850.00-3856.48] таки реализации там квантизации кого каша там кого квант просто и называется они позволяют [3856.48-3862.90] он достичь как раз таки ломком на продакшене там контекстного окна в 10 миллионов токен ровно [3862.90-3868.24] потому что вот это оптимизировали кого кэш он хорошо поместится на любую железяку и [3868.24-3877.54] последнее что мы раз а мы просто типов каждым на каждом шаге мы просто конка чем в последнем [3877.54-3850.00]  [3852.46-NA] В конец добавляем...
[3875.00-3883.28] каждом шаге мы просто конка чем в последнем в конец добавляем имбединг токина да да все просто [3883.28-3890.26] очень просто все так то есть тут нет какого-то супер но шестая ли гениальной идеи просто обратили [3890.26-3895.46] внимание что он в целом по какие-то куски текста они постоянно повторяются их решили отдельно в [3895.46-3903.52] каком-то кэше хранить значение там ключ значения по ним все тут ничего супер особенного нету вот [3903.52-3875.00]  [3876.50-NA] вот этот KVC, он просто отвечает за это.
[3900.00-3906.72] Тут ничего супер-особенного нету. Вот этот KVCash просто отвечает за какой-то контекст, который на [3906.72-3912.78] каждом шаге модель сама себе дает. Вот она может к нему очень эффективно быстро обратиться. [3912.78-3921.72] С помощью квантизации он еще и весить мало начинает. Да, и последняя история тоже, она просто более [3921.72-3927.84] умная квантизация, нежели чем там просто заквантить весы и найти какой-то фактор квантизации. Это там [3927.84-3900.00]  [3902.16-NA] ЛЛМ-Инт-8.
[3925.00-3931.90] и найти какой-то фактор квантизации это там ллм-инт8 там прям так называется вот [3931.90-3943.06] что делают смотрят на значение в любой на самом деле матрицы находят как и какие-то условные [3943.06-3949.78] обычные значения внутри матрицы которые как-то равномерно распределены между самими собой но [3949.78-3954.62] матрицы мы также еще и чаще всего находим какие-то аутлайеры чаще всего из-за того что у нас [3954.62-3925.00]  [3925.36-NA] саду.
[3950.00-3954.62] мы также еще и чаще всего находим какие-то аутлайеры. Чаще всего из-за того, что у нас [3954.62-3962.00] достаточно спортированные порой бывают эмбеддинги, у нас эти аутлайеры действительно хранят какую-то [3962.00-3969.38] супер ключевую информацию для лмпи. Поэтому было предложено, давайте мы на самом деле наши аутлайеры, [3969.38-3976.16] в виду того, что они несут достаточно большую смысловую нагрузку для наших моделей, не будем [3976.16-3950.00]  [3953.84-NA] никак трогать в рамках квантизации, потому что из-за, там, квантизации
[3975.00-3982.96] Не будем никак трогать в рамках квантизации, потому что из-за квантизации подобных параметров сильно потом может пострадать качество. [3983.58-3984.72] Мы оставим их как есть. [3986.52-3994.92] И действительно, можно эти вещи оставить как есть, но при этом заняться квантизацией не аутлайеров, [3995.44-3999.50] а просто каких-то значений, которые так или иначе в нашем алгоритме распределены. [3999.50-3975.00]  [3980.50-NA] со стандартным алгоритмом квантизации, и потом все это дело...
[4000.00-4006.46] По стандартному алгоритму квантизации и потом все это дело уметь эффективно объединять. [4007.66-4015.34] Подробнее про алгоритм, то, как он выбирает аутлайеры, то, как он выбирает регулярные значения, тут решил не касаться. [4015.66-4018.06] Но идея тоже достаточно простая, интуитивная. [4019.94-4027.72] И на самом деле очень весомая, потому что зачастую все современные реализации, которые можно скачать с Hugging Face, [4027.72-4000.00]  [4002.28-NA] они поддерживают LMint 8.
[4025.00-4031.38] Современные реализации, которые можно скачать с Hugging Face, они поддерживают Element 8 внутри себя, [4031.38-4038.88] и это дает еще меньшую просадку по качеству, чем при обычной квантизации полноценной. [4039.64-4049.70] И при этом все позволяет сильно меньше памяти потреблять модели на инференции, на обучении и так далее. [4051.54-4025.00]  [4030.28-NA] Нам осталось поговорить по поводу фреймворка.
[4050.00-4061.32] Нам осталось поговорить по поводу фреймворков, на которых работают разработчики, которые выводят модели в прод. [4062.58-4073.04] У нас есть несколько фреймворков, которые точно хотелось бы затронуть, не суперподробно, но просто хотя бы рассказать, которые все опенсорсники так или иначе используют. [4073.04-4050.00]  [4056.94-NA] это тендер это л это больше такой продакшен на самом деле фреймворк эти фреймворки
[4075.00-4078.00] Это больше такой продакшн, на самом деле, фреймворк. [4079.36-4081.26] Эти фреймворки все в целом зачем-то нужны. [4081.60-4086.86] Они объединяют все то, что мы там обсудили до этого, [4089.42-4091.62] то есть какие-то методы оптимизации, [4091.84-4095.38] какие-то ускорения инференса, поддержка стабильности [4095.38-4098.16] и функциональности нашего сервиса, [4098.72-4100.02] как раз-таки внутри себя, [4100.60-4075.00]  [4079.96-NA] имеют хорошую поддержку на каком-то...
[4100.00-4106.34] имеют хорошую поддержку на каком-то более низком уровне, [4106.44-4108.24] то есть по общению с железяками. [4108.42-4112.40] К примеру, TensorRT, это непосредственно разработано NVIDIA, [4112.90-4114.88] оно поддерживает самые современные ядра. [4114.88-4119.24] Если выкатывается драйвер на какой-нибудь H100 GPU, [4119.62-4121.72] на который вы будете учить свою модель, [4121.82-4124.68] то, скорее всего, TensorRT обновится сиюсекундно, [4125.06-4127.98] и у вас будет самая современная поддержка без багов и так далее. [4128.24-4100.00]  [4102.26-NA] В отличие от всех других фреймворков, которые мы
[4125.00-4127.98] И у вас будет там самая современная поддержка без багов и так далее. [4128.24-4133.38] В отличие от всех других фреймворков, потому что они зачастую просто реализованы китайцами, [4133.56-4136.96] у которых хоть и есть какие-то свои GPU, они не так распространены, [4136.96-4142.38] и все равно все метятся в как раз-таки использовании GPU от NVIDIA. [4142.98-4148.20] При этом все, TensorFlow RT, он production фреймворк в первую очередь, [4148.70-4150.62] и у него очень сложный порог входа. [4151.14-4125.00]  [4129.38-NA] Не каждая лаборатория может позволить себе вдруг взять специалистов.
[4150.00-4156.66] порог входа. Не каждая лаборатория может позволить себе вдруг взять специалиста по этому фреймву [4156.66-4164.92] и как-то на нем работать, продолжать. Зачастую самым популярным это VLLM используется. [4165.04-4173.80] У него очень простой сам по себе. У него хорошая скорость как раз-таки, [4173.80-4178.90] и инференсы модели после определенных операций, которые этот фреймворк делает. [4179.52-4150.00]  [4151.10-NA] появляет.
[4175.00-4181.60] там после определенных операций которые этот фреймворк делает авторы вы как раз реализовали [4181.60-4190.80] по патч тэншин патч тэншин нам очень эффективно позволяет работать с кого кишон в удивление вот [4190.80-4198.44] блочно как-то реализуют там какую-то структуру там по хранению этого к вкша в не особо разбираюсь [4198.44-4175.00]  [4181.16-NA] честно вот очень популярный это можно по звездочкам увидеть его
[4200.00-4208.70] очень популярный это можно по звездочкам увидеть его зачастую используют все современные там ломки [4208.70-4217.22] которые не супер большие они там на в лами так иначе написаны есть еще и ломде плой первые [4217.22-4224.18] ребята которые там запустили там ламу один ламу 2 то сделали там от авторы континент бачинга тоже [4224.18-4200.00]  [4205.76-NA] простой но гениальной идеи, тоже какой-то фреймворк. Вот они есть.
[4225.00-4235.14] гениальные идеи, тоже какой-то фреймворк. Вот они есть такие. И заключительно, что хотелось бы сказать, [4235.14-4242.24] а именно сделать какой-то определенный рекап, зачем мы это вообще вдруг все прошли на протяжении всех [4242.24-4250.38] этих пяти лекций, ведь что нас дальше ждет. Мы в целом поговорили на самой первой лекции, что там [4250.38-4225.00]  [4229.52-NA] генеративный искусственный интеллект это круто есть определенные понятно дело грехи
[4250.00-4252.02] там генеративный искусственный интеллект [4252.02-4254.10] это круто, но есть определенные, [4254.20-4255.78] понятное дело, грехи на текущий момент, [4255.92-4257.42] есть какие-то нерешенные у него проблемы, [4258.02-4259.82] но что немаловажно, [4260.08-4261.00] то, что [4261.00-4264.12] есть определенные риски, которые [4264.12-4265.88] являются не просто [4265.88-4268.06] рисками, что мы там денежку какую-то [4268.06-4269.84] потеряем, но это [4269.84-4272.48] там топ-2 рисков по версии [4272.48-4274.36] там международного [4274.36-4275.98] экономического форума, [4275.98-4277.72] такой самой большой, наверное, [4277.80-4279.54] организации, которая там [4279.54-4250.00]  [4250.46-NA] так и не может.
[4275.00-4282.74] форума такой самый большой наверное организации которые там так или иначе занимается тем что [4282.74-4287.66] подсвечивают какие-то риски мировые именно к чему все прислушиваются там самой большой компании так [4287.66-4294.86] далее то есть это очень авторитетный источник да и эти риски связаны с галлюцинациями считают [4294.86-4301.70] сильно не просто галлюцинациями но и дезинформации считают очень опасными и очень важно нам [4301.70-4275.00]  [4278.30-NA] нам добросовестно и очень качественно мерить в таком случае алан.
[4300.00-4307.02] и очень важно нам добросовестно и очень качественно мерить в таком случае LLM. Мы поговорили на [4307.02-4315.02] второй лекции про то, что используют вообще в рамках обучения LLM и какие модификации делают [4315.02-4322.58] над LLM-ками, которые так или иначе влияют на работу самой LLM и их нужно учитывать. Вообще, [4322.58-4328.66] в целом, что нужно уметь все правильно измерять, нужно не просто вслепую бросаться на первый [4328.66-4300.00]  [4301.32-NA] попавшийся бенчмарк на уметь.
[4325.00-4330.40] измерять нужно не просто вслепую бросаться на первый попавшийся бичмарк но уметь как-то его [4330.40-4337.06] оценить оценить особенности нашей лампки что она может что не может не используйте где она не [4337.06-4345.82] может она там обучить ее тоже определенным образом и до рассмотрели модальности как следующий шаг [4345.82-4352.48] развития общих целых всех алла лампок некоторые нюансы связанных с их обучениями о том что [4352.48-4325.00]  [4327.52-NA] что модальность — это не просто какой-то блокбокс.
[4350.00-4351.76] нюансы, связанных с их обучениями, [4351.98-4353.88] о том, что модальность — это не просто [4353.88-4355.76] какой-то блокбокс, но это [4355.76-4357.86] все-таки состоящий из [4357.86-4359.78] каких-то различных [4359.78-4361.50] энкодеров, проекторов, там, [4361.58-4362.76] cross-attention в истории, [4363.32-4365.72] и то, что их [4365.72-4367.88] качество измерить — это достаточно большой [4367.88-4369.90] челлендж. Ну и сегодня поговорили в целом [4369.90-4371.26] о каких-то [4371.26-4373.80] методах оптимизации, которые [4373.80-4376.06] так или иначе используются, [4377.30-4377.42] и [4377.42-4379.90] которые могут нам так или иначе [4379.90-4350.00]  [4351.00-NA] беды.
[4375.00-4383.64] и которые могут нам так или иначе повлиять на картину что мы можем увидеть что там хайф модельки [4383.64-4388.82] которые мы загружаем там с ген фейса они могут отличаться того что мы это можем увидеть на [4388.82-4397.26] сервисе и поэтому от этого нам собственно правильно как надо строить наше тестирование все дальнейшие [4397.26-4375.00]  [4380.10-4382.72] Следующие лекции проведут Ваня Подпружников и Степан Пономарев, мои коллеги.
[4400.00-4404.10] Пани Подпружников и Степан Пономарев, мои коллеги. [4404.68-4410.02] В дальнейшем вас ждет достаточно увлекательное и долгое путешествие мир раков, агентов, [4410.02-4418.18] и не просто ЛЛМ, а так таковой, но и их применений, как они правильно используются, [4419.24-4423.02] как их правильно использовать, как узнать, что они правильно используются. [4424.54-4400.00]  [4405.86-NA] и проговорим про какие-то реальные истории жизни.
[4425.00-4428.90] проговорим про какие-то реальные истории жизни. [4430.34-4436.22] Степан, как раз-таки по большей части сконцентрированный на диффузионных моделях, [4436.32-4437.38] расскажет ровно про них. [4438.42-4444.58] Скорее всего, там самый современный доклад будет связан с текстом видео, [4444.86-4447.08] той вещью, которая развивается меньше года. [4448.70-4451.52] Посмотрим на методы как раз-таки оценки подобных моделей, [4451.52-4454.68] какие риски там тоже могут быть, что с этим делать.
[4450.00-4452.56] раз такие оценки подобных моделей, какие риски там [4452.56-4454.68] тоже могут быть, что с этим делать. [4454.98-4457.54] И если все пойдет гладко, то, возможно, пройдем бонусную [4457.54-4458.42] лекцию, о которой говорили. [4459.60-4462.60] Сразу предвкушая вопрос про домашнее здание, появится [4462.60-4463.16] ли оно сегодня. [4463.54-4465.64] На самом деле нет, не появится, появится оно в субботу. [4466.22-4466.44] Вот. [4467.40-4468.66] На все, что хотел сказать. [4469.20-4470.64] Так, всем спасибо. [4471.02-4472.70] Если есть вопросы, буду рад слышать. [4476.24-4478.14] А есть какое-то понимание, про что домашнее здание [4478.14-4478.30] будет? [4479.16-4479.84] Да, есть.
[4475.00-4478.32] А есть какое-то понимание, про что домашка-то будет? [4479.14-4479.86] Да, есть. [4481.44-4485.00] Обычно домашка будет состоять из... [4486.88-4489.16] У вас будет, скорее всего, инференция ллмки, [4490.20-4493.38] достаточно быстрой, очень надеюсь на это. [4494.44-4500.44] И нужно будет эту ллмку уметь прогнать на бенчмарках, [4500.44-4504.36] которые мы обсуждали как раз-таки в рамках этих лекций.
[4500.00-4506.90] бенчмарках, которые мы обсуждали как раз-таки в рамках этих лекций, возможно, в различных режимах, [4508.58-4509.84] и написать по этому какие-то выгоды. [4510.36-4512.50] В целом, это будет ровно про это. [4513.84-4514.26] Спасибо. [4515.02-4516.02] Сверхъестественного, да. [4521.28-4524.18] Здесь сейчас еще есть вопросы, буду рад ответить. [4524.36-4527.24] Но если вдруг нет, то пишите в чат. [4528.64-4500.00]  [4502.76-NA] И тогда всем спасибо.
[4525.00-4527.24] вдруг нет, то пишите в чат. [4528.64-4529.78] И тогда всем спасибо. [4531.04-4532.54] Получается, Ваня начнет с четверга, [4533.24-4535.88] а по поводу первого домашнего задания [4535.88-4537.84] сброшу как раз-таки на неделю информацию. [4539.44-4540.62] Всем хорошего вечера. [4545.82-4546.78] Спасибо, пока.
