[Chunk start 0.00s]: [0.00-29.98] Подписывайтесь на наш канал.
[Chunk start 25.00s]: [0.00-29.98] Подписывайтесь на наш канал.
[Chunk start 50.00s]: [0.00-29.98] Подписывайтесь на наш канал.
[Chunk start 75.00s]: [0.00-29.98] Подписывайтесь на наш канал.
[Chunk start 100.00s]: [0.00-29.98] Подписывайтесь на наш канал.
[Chunk start 125.00s]: [0.00-29.98] Продолжение следует...
[Chunk start 150.00s]: [0.00-3.00] Появился в этом случае, как правило, неизвестный.
[Chunk start 175.00s]: [0.00-29.98] Подписывайтесь на наш канал.
[Chunk start 200.00s]: [0.00-29.98] Подписывайтесь на наш канал.
[Chunk start 225.00s]: [0.00-29.98] Подписывайтесь на наш канал.
[Chunk start 250.00s]: [0.00-29.44] Всем привет! [29.44-0.00]  [1.00-NA] Привет!
[Chunk start 2950.00s]: [0.00-6.90] не учитывается порой первый токен его отбрасывают потому что это как отдельная метрика у нас хотя [6.90-13.02] можно не отбрасывать в целом тогда будут там чуть другие но очень схожи все равно значения [13.02-23.82] современной модельки как-то распределены на этом графике по как раз таки двум этим метриком самый [23.82-0.00]  [6.12-NA] идеальный квадрант у нас очень маленькое время на time to first token.
[Chunk start 2975.00s]: [0.00-8.50] нас очень маленькое время на тайм ту ферз токен и очень большое количество токен спер секанс понятное [8.50-14.22] дело такого достигают обычно какие-то маленькие модельки либо моделька стамп с приставку flash [14.22-23.76] ну а какие-то очень мощные модели в них достаточно там мощный какой-то декоринг происходит типа [23.76-0.00]  [6.18-NA] дипсика у них очень большой обычно тайм тофер стокин но при этом можете
[Chunk start 3000.00s]: [0.00-12.06] У них очень большой обычно time-to-first токен, но при этом может сильно отличаться в зависимости от задачи, которые ставятся перед моделькой по tokens-per-sequence. [12.06-0.00]  [7.82-8.62] В tokens-per-sequence очень важно в целом учитывать то, с чем мы работаем. [17.90-NA] Так у нас может быть история связана с тем, что нам важно максимизировать TPS по питону, по математике.
[Chunk start 3025.00s]: [0.00-7.08] тем что нам важно максимизировать там тпс по питону по математике там по русскому языку или по [7.08-13.50] английскому и мы можем очень быстро заметить что токены на самом деле по разным доменом они сильно [13.50-19.80] разные поэтому нужно обращать на это внимание иногда производится замер там по тпс у сильно [19.80-0.00]  [9.78-NA] сказать смещенный ввиду того что не знаю мы там мерим там тпс джипе течет и мерим
[Chunk start 3050.00s]: [0.00-9.78] мы там мерим там тпс джипе течет и мерим тпс там не знаю код помощника как раз разработчика и мы [9.78-16.74] знаем что там фертильность и кинезации то есть в среднем размер токи на какой-то он на коде сильно [16.74-25.92] выше чем на русском языке так мы можем наблюдать здесь что у нас там здесь видно средний там длина [25.92-0.00]  [4.06-NA] цена токена в GPT-4 она там четыре с чем-то на русском языке,
[Chunk start 3075.00s]: [0.00-6.72] Средняя длина токена в GPT-4, она там 4 с чем-то на русском языке, это 2 и там 2. [8.26-14.26] То есть сгенерировать такой токен, сгенерировать другой на самом деле требует разных скоростей вдруг. [17.02-23.08] И о чем очень хочется сильно поговорить, что вообще так или иначе повлияет на риски использования LLAM, [23.08-28.02] это промерч методы оптимизации, которые в сервисах используют. [28.30-0.00]  [1.98-NA] Вдруг мы очень быстро, как будто бы, сжали все снаряды.
[Chunk start 3100.00s]: [0.00-7.68] которые в сервис используют вдруг мы очень быстро на самом деле начинает понимать что все наши [7.68-15.48] модели которые мы разработали безумно долгие и требует очень много памяти излишней памяти мы [15.48-21.50] это все можем сильно оптимизировать при этом никак не потеряв качестве зачастую оптимизации добавляя [21.50-27.68] самый легкий способ это просто добавить новых железяк понят дело может купить там со самые [27.68-0.00]  [2.32-NA] современные видеокарточки и за
[Chunk start 3125.00s]: [0.00-6.36] понятное дело может купить там самые современные видеокарточки и забыть о нашей текущей проблеме [6.36-12.12] но на самом деле мы можем куда лучше мы иногда можем заменить какие-то архитектурные способности [12.12-20.34] модели там маешки в целом микшеров экспорта они быстрее работают чем обычные там dance [20.34-29.28] до нейросети но зачастую объединяют методы связанные с какими-то архитектурными решениями [29.28-0.00]  [1.00-NA] внутримодельными.
[Chunk start 3150.00s]: [0.00-5.22] объединяют методы, связанные с какими-то архитектурными решениями внутри моделей, [5.82-10.08] и железную историю, то есть оптимизация именно хардвера, [10.72-12.74] и скрестили это все дело в мерч-методы, [14.34-19.22] когда мы достаточно эффективно в тех вещах, которые мы уже давно знаем, [19.80-26.86] можем использовать управление виртуальной памятью, управление видеопамятью. [26.86-0.00]  [29.98-NA] Так что у нас в целом все начнет считаться, что это не так.
[Chunk start 3175.00s]: [0.00-6.84] управление там видеопамятью так что у нас целом все начнет считаться в несколько раз быстрее при [6.84-11.86] этом это никак не потеряет в качестве потому что мы сохраняем ровно тоже логику работы так [11.86-18.50] примеру самый эффективный способ вообще там по оптимизации любого лом сервисом и подробно сегодня [18.50-26.74] разберем таковы кэш continuous бачинг идея в нем супер просто она на картинке и мне кажется даже [26.74-0.00]  [1.98-2.46] сильно объяснять как-то это не надо. [3.26-NA] Мы хотим...
[Chunk start 3200.00s]: [0.00-6.66] на картинке и мне кажется даже сильно там объяснять как-то это не надо мы хотим когда у нас вот такой [6.66-12.48] вот бач при этом он там заканчивается достаточно рано мы хотим в оставшуюся часть бача потому что [12.48-17.28] она у нас просто западе на и вставить какой-то другой бач который был там сильно меньше всего [17.28-24.42] нашего сэмпла и мы таких бачей скорее всего найдем так вот к примеру там в с1 вот эту всю историю до [24.42-0.00]  [5.04-NA] поместился батч S6, который состоял всего там из двух токенов условно.
[Chunk start 3225.00s]: [0.00-4.56] Вместился бач S6, который состоял всего из двух токенов условно. [6.12-10.84] Здесь вместился S5, который тоже из двух токенов состоял, при этом из трех. [12.50-14.72] Это из двух, наверное, а тут просто падинг. [15.48-18.98] И мы таким образом сильно скомпонуем наше пространство бачей, [19.14-21.88] которые мы подаем нашу ломку, и сильно быстрее посчитаем. [22.00-25.32] При этом мы будем очень хорошо знать, где у нас что заканчивается, [25.32-28.72] потому что мы специальные токены будем использовать, которые end-of-centers являются. [29.62-0.00]  [1.00-2.00] Это флешмобильный инструмент, который позволяет пользователям внести в себя вред. [2.00-3.00] Это флешмобильный инструмент, который позволяет пользователям [3.00-4.00] внести в себя вред. [4.00-5.00] Это флешмобильный инструмент, который позволяет пользователям [5.00-6.00] внести в себя вред. [6.00-7.00] Это флешмобильный инструмент, который позволяет пользователям [7.00-8.00] внести в себя вред. [8.00-9.00] Это флешмобильный инструмент, который позволяет пользователям [9.00-10.00] внести вред. [10.00-11.00] Это флешмобильный инструмент, который позволяет пользователям [11.00-12.00] внести вред. [12.00-13.00] Это флешмобильный инструмент, который позволяет пользователям [13.00-14.00] внести вред. [14.00-15.00] Это флешмобильный инструмент, который позволяет пользователям [15.00-16.00] внести вред. [16.00-17.00] Это флешмобильный инструмент, который позволяет пользователям [17.00-18.00] внести вред.
[Chunk start 3250.00s]: [0.00-5.04] потому что мы специальные токены будем использовать которые end of sentence являются это flash [5.04-11.82] attention их целое семейство тоже сегодня подробно не поговорим это page detention он ничего общего [11.82-17.98] с словом attention вообще не имеет но подход очень интересный я отдельно статью тут оставил на эту [17.98-26.16] всю историю но мы смотреть на него не будем там квантизованные лоры интересные методы квантизации [26.16-0.00]  [2.90-NA] лампок на int8.
[Chunk start 3275.00s]: [0.00-4.04] методы квантизации лмок на int8. [5.76-8.18] Это использование, там, k-bit precision, [8.70-14.10] для того, чтобы, там, как-то заквантить наши параметры, [14.22-15.78] при этом не сильно поменять в качестве. [16.34-18.08] Я, кстати, наверное, отдельную скину, [18.44-19.94] сегодня тоже на смотреть на это не будем. [20.64-21.72] Фьюзирование слоев. [21.96-24.80] Это больше архитектурная, конечно, история, нежели чем мерч. [24.80-27.60] Но зачастую это используется, [27.86-0.00]  [4.32-NA] когда несколько слоев у нас просто помощи
[Chunk start 3300.00s]: [0.00-6.24] но зачастую это используется, когда несколько слоев у нас просто по мощности обвиняются условно в один, [6.46-7.58] и быстрее считаться начинает. [8.06-12.68] И есть целые фреймворки для оптимизации, это там Petals и Swarm, [13.40-16.10] но давайте начнем с Flash Attention. [16.88-19.22] Здесь не сильно устали, но не так много осталось. [22.70-25.86] Нет, это тот бач, который мы подаем на вход, а ла-лам. [27.18-0.00]  [4.14-NA] Поэтому мы тут просто определенным образом...
[Chunk start 3325.00s]: [0.00-7.86] на вход и лалам поэтому мы тут просто определенным образом синие то паттинги насколько понимаю либо [7.86-14.22] какие-то специальные токены красные это end of sentence там желтые это собственно те данные [14.22-22.94] которые мы хотим подать просто это как пример компоновки бача когда мы место там весь у нас [22.94-0.00]  [2.00-6.16] у нас, к примеру, весь наш... вся наш... [6.16-7.12] весь наш бач заказов...
[Chunk start 3350.00s]: [0.00-8.46] Весь наш батч заканчивается, к примеру, на S6, то есть шестое там предложение. [8.82-12.62] Мы укомпоновали на самом деле всего в четыре, хотя их было изначально шесть, [12.72-16.02] просто было очень много паддингов, пробелов, которые нам особо не нужны, [16.46-20.42] и мы это все дело скомпоновали, Continuous Patching здесь хорошо работает. [22.24-23.50] Начнем с Flash Attention. [26.16-0.00]  [6.50-NA] Конечно, это такая супер база для всех LLM.
[Chunk start 3375.00s]: [0.00-7.32] Это такая супер база для всех LLM-ок, сервисов и так далее, которые используются. [7.32-16.26] Она по своим результатам в целом сильно меняет тренинг тайм, она меняет инференс тайм в том числе. [16.26-23.52] Какие-то модельки, обученные Flash Attention, обычно показывают рост производительности в три с половиной раза. [23.52-0.00]  [2.76-6.48] С чем это вдруг связано? С тем, что у нас подсчет нашего социального сообщества
[Chunk start 3400.00s]: [0.00-8.28] это вдруг связано с тем что у нас подсчет нашего салфеттен шина на самом деле он очень не [8.28-15.06] оптимизирован по памяти от слова совсем у него есть несколько операций операция там матричного [15.06-21.72] перемножения операция взять и софт макса и операции еще одного матричного там перемножения но не суть [21.72-28.96] важно какого потому что она нигде в целом особо не оптимизируется вот и на самом деле почет софт [28.96-0.00]  [1.04-NA] Макса и вот этот.
[Chunk start 3425.00s]: [0.00-6.20] И на самом деле почет softmax и вот это матричное приложение, [6.20-10.30] которое первое в наших коверах, очень затратное. [10.30-14.60] И обычно, как оно делается во всех фреймворках, они [14.60-22.50] ее пихают в так называемую hard-bound with memory внутри GPU. [22.50-28.54] Нашу GPU можно представить как какую-то consistent память, [28.54-0.00]  [1.44-NA] какой-то, как будто бы жесткий дебил.
[Chunk start 3450.00s]: [0.00-6.84] какую-то consistent память наш какой-то как будто бы жесткий диск внутри джипу и есть какая-то [6.84-14.62] оперативка внутри джипу несмотря на то что полтора терабайта в секунду кажется для гпухи это все равно [14.62-21.76] этого какие скорости но на самом деле на огромных там пайлов данных и так далее это сильно замедляет [21.76-27.40] процесс там и обучение всего остального когда у нас при этом есть очень маленькая потому что там [27.40-0.00]  [2.58-NA] там всего 20 мб обычно, но при этом очень много.
[Chunk start 3475.00s]: [0.00-5.58] при этом есть очень маленькая потому что там всего 20 гигабайт обычно но при этом очень пропускная по [5.58-16.02] своей способности виртуальная память внутри нашей гипухи и flash attention они очень эффективно [16.02-24.12] научились работать с этим небольшим кусочком как раз таки связанным с видео оперативной памятью они [24.12-0.00]  [5.40-NA] вся основная суть почему вдруг этот кусочек стал использоваться
[Chunk start 3500.00s]: [0.00-4.70] Вся основная суть, почему вдруг этот кусочек стал использоваться, [5.04-8.34] ведь на него вроде не положишь целую матрицу, [8.34-15.28] а это в рамках как раз-таки самой первой реализации Flash Attention, [15.74-20.74] в рамках перемножения матриц, это использование тайлинга, [21.82-27.92] когда мы вместо подсчетов, когда мы считаем Q на K, [28.16-0.00]  [1.98-NA] мы обычно там матрицу перемножаем.
[Chunk start 3525.00s]: [0.00-4.90] Когда мы считаем Q на K, мы обычно матрицу перемножаем, [5.04-6.66] как мы знаем, как мы их перемножаем. [6.66-9.32] Там используется просто более эффективный метод, [9.70-14.80] который резко сокращает количество операций, но это окей. [16.52-24.18] В рамках подсчета как раз-таки Softmax используется так называемый онлайн Softmax, [24.58-27.66] который считается у нас рекуррентно, [28.52-0.00]  [2.32-NA] И именно благодаря сфере развития, в основном, в области
[Chunk start 3550.00s]: [0.00-8.34] считается у нас рекуррентно, и именно благодаря свойству рекуррентности при подсчете онлайн софтмакса [8.34-17.78] мы очень хорошо и эффективно умеем хранить информацию как раз-таки о текущем рекуррентном состоянии этого софтмакса [17.78-26.04] в очень быстрой памяти, и это нам позволяет как раз-таки вот эти две операции тайлинга и онлайн софтмакса, [26.22-0.00]  [3.98-NA] во-первых, не просто быстро считать, так еще и...
[Chunk start 3575.00s]: [0.00-7.56] онлайн софтмакса во-первых не просто быстро считать так еще и производить вычисления на одном ядре гпу [7.56-16.40] при всем при этом прошлое все наши вычисления они слова парализовались сейчас это проявляются просто [16.40-23.24] прекрасно так что вот на одном там ядре гпу это все дело считается и виду как раз таки этого мы [23.24-0.00]  [6.56-NA] заметили там сильный прирост flash оттеншин 2 flash оттеншин 3 и по там
[Chunk start 3600.00s]: [0.00-7.80] Flash Attention 2, Flash Attention 3 и прочие какие-то модернизации подобных флешей, [8.18-14.58] они так или иначе продолжают идею авторов изначального Flash Attention. [15.24-20.38] Но Flash Attention сейчас в той или иной реализации нет ни одной, наверное, лампки, [20.38-21.84] которая бы не использовала его. [23.08-23.84] Не знаю, правда. [24.40-25.58] Поэтому он сейчас везде. [27.10-29.80] И при этом все мы не теряем качество от слова совсем никак, [29.96-0.00]  [1.00-NA] по.
[Chunk start 3625.00s]: [0.00-6.06] сейчас везде и при этом все мы не теряем качестве от слова совсем никак потому что мы получаем ровно [6.06-12.72] тот же результат то есть это действительно очень хорошая оптимизация работы алгоритма причем не по [12.72-18.32] там какой-то компетенции на класт то есть мы в целом имеем ту же сложность алгоритма который [18.32-24.42] была у нас до этого мы очень сильно имеем ниже требования по памяти которые требуются нам для [24.42-0.00]  [3.04-NA] для подсчета как раз-таки Attention's Carов.
[Chunk start 3650.00s]: [0.00-10.98] как раз таки то тэншин с коров ну и теперь кого кэш стараешь быстренько по нему пройти идея очень [10.98-16.68] простая как у нас работает лампка у нас есть изначальный какой-то запрос это примеру два [16.68-25.48] плюс два она отсылается лампки лампка генерирует будет теперь 2 плюс 2 будет равно 2 плюс 2 равно [25.48-0.00]  [4.54-NA] но четыре, ввиду того, что, ну, LLM-ка у нас обычно это декодирует.
[Chunk start 3675.00s]: [0.00-7.44] равно 4 по виду того что новая лампу у нас обычно это декодер она всегда берет какое-то предыдущее [7.44-13.60] свое состояние и на основании это предыдущее состояние генерирует следующий токен и так [13.60-23.28] итеративно недурно можно заметить что на самом деле у нас есть в достаточно повторяющиеся куски [23.28-0.00]  [6.46-NA] даже не так мы вот эти все куски
[Chunk start 3700.00s]: [0.00-2.82] Точнее, даже не так. [2.82-7.22] Мы вот эти все куски, которые у нас были там в качестве [7.22-11.16] запроса, в качестве ответа, мы можем очень эффективно [11.16-12.16] где-то хранить. [12.16-15.60] Уже не дурно как идея. [15.60-19.82] А теперь развеем эту идею совсем до крайностей. [19.82-22.96] А почему бы нам просто вот эти куски кода не хранить [22.96-26.40] в каком-то кэше, который у нас будет постоянно обновляться, [26.40-29.38] а именно этот кэш, который у нас всегда заложен как [29.38-0.00]  [1.00-NA] значения.
[Chunk start 3725.00s]: [0.00-5.76] постоянно обновляться а именно этот кэш который у нас всегда заложен как значение мы будем подавать [5.76-17.46] всегда в л.м. качестве входного какого-то контекста то есть просто базового хранить этот весь кэш [17.46-26.78] будет куда удобнее и куда более быстрой какой-то реализации чем мы будем заново скармливать модели [26.78-0.00]  [3.34-NA] или весь предыдущий какой-то контекст, ведь у нас в целом есть...
[Chunk start 3750.00s]: [0.00-6.60] заново скармливать модели весь предыдущий какой-то контекст ведь у нас в целом есть по киваю уже [6.60-16.08] какие-то данные от модели которые мы можем есть достаточно эффективно скармливать это особенно [16.08-24.96] важно для time to first о кино но точнее наоборот не сильно важно потому что у нас первый контекст [24.96-0.00]  [4.62-NA] текст декодинга у нас никуда не пойдет у нас пока вы кэш появится только после этого
[Chunk start 3775.00s]: [0.00-4.66] текст-декодинг у нас никуда не пойдет, у нас KV-кэш появится только после этого. [5.12-8.02] Однако этот способ сильно увеличивает ТПС, [10.28-16.42] но в целом особо сильно никак не влияет в своем первоначальном виде на использование памяти. [16.82-21.90] У нас все равно резервируется больше 30% на любой видюхе под KV-кэш. [21.90-0.00]  [8.10-NA] Однако, что очень важно, что вдруг научились его очень хорошо квантизовывать и оптимизировать.
[Chunk start 3800.00s]: [0.00-5.08] что вдруг научились его очень хорошо квантизовывать и оптимизировать. [5.88-10.74] У нас была проблема, что изначально веса модели при маленьких контекстах, [11.50-17.48] то есть при маленьком кавэкэше, они у нас занимали большую часть памяти, [17.88-22.26] понятное дело, но этот кавэкэш при больших контекстах сильно растет, [22.86-27.00] так что у нас не хватает памяти на эффективное хранение весов. [27.34-0.00]  [2.98-NA] И поэтому научились кавыкаш-квантинизм.
[Chunk start 3825.00s]: [0.00-8.58] памяти на эффективное хранение весов не поэтому научились кого кэш квантизовать причем с помощью [8.58-17.90] квантизации кого кэша можно во-первых сохранить те же самые результаты по модели которые используются [17.90-25.24] но при этом сильно сократив потребление памяти на хранение кого кэша и текущие как раз таки [25.24-0.00]  [4.76-NA] О реализации квантизации КВ-кавша, КВ-квант просто
[Chunk start 3850.00s]: [0.00-6.48] таки реализации там квантизации кавыка шаг там кого квант просто и называется они позволяют [6.48-12.90] им достичь как раз таки ломком на продакшене там контекстного окна в 10 миллионов токен ровно [12.90-18.24] потому что вот это оптимизировали кого кэш он хорошо поместится на любую железяку и [18.24-27.54] последнее что мы раз а мы просто типов к каждым на каждом шаге мы просто конка чем в последнем [27.54-0.00]  [2.46-NA] В конец добавляем...
[Chunk start 3875.00s]: [0.00-8.28] каждом шаге мы просто конка чем в последнем в конец добавляем имбединг токина да да все просто [8.28-15.26] очень просто все так то есть тут нет какого-то супер ношу стояли гениальной идеи просто обратили [15.26-21.00] внимание что он в целом какие-то куски текста они постоянно повторяются их решили отдельно в каком-то [21.00-28.74] кэше хранить значение там ключ значения по ним все тут ничего супер особенного нету вот этот [28.74-0.00]  [1.24-NA] КВКшум просто отвечает за все, что нужно.
[Chunk start 3900.00s]: [0.00-3.00] Тут ничего супер-особенного нету. [3.00-6.70] Вот этот KVCash просто отвечает за какой-то контекст, который [6.70-9.10] на каждом шаге модель сама себе дает. [9.10-11.62] Вот она может к нему очень эффективно быстро обратиться. [11.62-15.50] С помощью квантизации он еще и весить мало начинает. [15.50-22.68] Да, и последняя история тоже, она просто более умная [22.68-25.08] квантизация, нежели чем там просто заквантить весы [25.08-27.72] и найти какой-то фактор квантизации. [27.72-0.00]  [2.28-NA] Там LLMint8.
[Chunk start 3925.00s]: [0.00-10.82] и найти какой-то фактор квантизации это там ллм-инт8 там прям так называется вот что делают смотрят [10.82-19.26] на значение в любой на самом деле матрицы находят как и какие-то условные обычные значения внутри [19.26-25.98] матрицы которые как-то равномерно распределены между самими собой но матрицы мы также еще и [25.98-0.00]  [2.06-2.24] и чаще всего находим какие-то аутлайеры. [4.00-NA] Чаще всего из-за того, что у нас...
[Chunk start 3950.00s]: [0.00-4.62] мы также еще и чаще всего находим какие-то аутлайеры. Чаще всего из-за того, что у нас [4.62-12.00] достаточно спорсированы порой бывают эмбеддинги, у нас эти аутлайеры действительно хранят какую-то [12.00-19.38] супер ключевую информацию для лмп. Поэтому было предложено, давайте мы на самом деле наши аутлайеры, [19.38-26.16] в виду того, что они несут достаточно большую смысловую нагрузку для наших моделей, не будем [26.16-0.00]  [3.84-NA] никак трогать в рамках квантизации, потому что из-за, там, квантизации
[Chunk start 3975.00s]: [0.00-7.96] Не будем никак трогать в рамках квантизации, потому что из-за квантизации подобных параметров сильно потом может пострадать качество. [8.58-9.72] Мы оставим их как есть. [11.52-19.92] И действительно, можно эти вещи оставить как есть, но при этом заняться квантизацией не аутлайеров, [20.44-24.50] а просто каких-то значений, которые так или иначе в нашем алгоритме распределены. [24.50-0.00]  [5.50-NA] со стандартным алгоритмом квантизации, и потом все это дело...
[Chunk start 4000.00s]: [0.00-6.46] По стандартному алгоритму квантизации и потом все это дело уметь эффективно объединять. [7.66-15.34] Подробнее про алгоритм, то, как он выбирает аутлайеры, то, как он выбирает регулярные значения, тут решил не касаться. [15.66-18.06] Но идея тоже достаточно простая, интуитивная. [19.94-27.72] И на самом деле очень весомая, потому что зачастую все современные реализации, которые можно скачать с Hugging Face, [27.72-0.00]  [2.28-NA] они поддерживают LMint 8.
[Chunk start 4025.00s]: [0.00-6.38] Современные реализации, которые можно скачать с Hugging Face, они поддерживают LMN8 внутри себя, [6.38-13.30] и это дает еще меньшую просадку по качеству, чем при обычной квантизации полноценной. [14.64-24.70] И при этом все позволяет сильно меньше памяти потреблять модели на инференции, на обучении и так далее. [26.54-0.00]  [5.28-NA] Нам осталось поговорить по поводу фреймворка.
[Chunk start 4050.00s]: [0.00-10.02] Нам осталось поговорить по поводу фреймворков, на которых работают, собственно, разработчики, [10.02-16.20] которые выводят модели в прод. У нас есть несколько фреймворков, которые точно хотелось бы затронуть, [16.20-22.48] не суперподробно, но просто хотя бы рассказать, которые там все open-source-ники так или иначе [22.48-30.00] используют. Это tensorrtlm, это больше такой production на самом деле фреймворк. Эти фреймворки
[Chunk start 4075.00s]: [0.00-3.00] Это больше такой продакшн, на самом деле, фреймворк. [4.36-6.26] Эти фреймворки все в целом зачем-то нужны. [6.60-11.86] Они объединяют все то, что мы там обсудили до этого, [14.42-18.94] то есть какие-то методы оптимизации, какие-то ускорения инференса, [19.42-23.16] поддержка стабильности и функциональности нашего сервиса, [23.16-0.00]  [6.84-NA] как раз-таки внутри себя имеют хорошую поддержку на каком-то...
[Chunk start 4100.00s]: [0.00-6.34] имеют хорошую поддержку на каком-то более низком уровне, [6.44-8.24] то есть по общению с железяками. [8.42-12.40] К примеру, TensorRT, это непосредственно разработано NVIDIA, [12.90-14.88] оно поддерживает самые современные ядра. [14.88-19.24] Если выкатывается драйвер на какой-нибудь H100 GPU, [19.62-21.72] на который вы будете учить свою модель, [21.82-24.68] то, скорее всего, TensorRT обновится сиюсекундно, [25.06-27.98] и у вас будет самая современная поддержка без багов и так далее. [28.24-0.00]  [2.00-NA] В отличие от всех других фреймворков, которые мы
[Chunk start 4125.00s]: [0.00-2.98] И у вас будет там самая современная поддержка без багов и так далее. [3.24-8.38] В отличие от всех других фреймворков, потому что они зачастую просто реализованы китайцами, [8.56-11.96] у которых хоть и есть какие-то свои GPU, они не так распространены, [11.96-17.38] и все равно все метятся в как раз-таки использовании GPU от NVIDIA. [17.98-23.20] При этом все, TensorRT, он production фреймворк в первую очередь, [23.70-25.62] и у него очень сложный порог входа. [26.14-0.00]  [4.38-NA] Не каждая лаборатория может позволить себе вдруг взять специалиста.
[Chunk start 4150.00s]: [0.00-6.66] порог входа. Не каждая лаборатория может позволить себе вдруг взять специалиста по этому фреймву [6.66-14.92] и как-то на нем работать, продолжать. Зачастую самым популярным это VLLM используется. [15.04-23.80] У него очень простой сам по себе. У него хорошая скорость как раз-таки, [23.80-28.90] и инференс модели после определенных операций, которые этот фреймворк делает. [29.52-0.00]  [1.10-NA] появляет.
[Chunk start 4175.00s]: [0.00-6.60] там после определенных операций которые этот фреймворк делает авторы вы как раз реализовали [6.60-15.80] по 5 шт attention патча теншин нам очень эффективно позволяет работать с кого кишон в удивление вот [15.80-23.44] блочно как-то реализуют там какую-то структуру там по хранению этого к вкша в не особо разбираюсь [23.44-0.00]  [6.16-NA] честно вот очень популярный это можно по звездочкам увидеть его
[Chunk start 4200.00s]: [0.00-8.70] очень популярный это можно по звездочкам увидеть его зачастую используют все современные там ломки [8.70-17.22] которые не супер большие они там на в лами так иначе написаны есть еще и ломде плой первые [17.22-24.18] ребята которые там запустили там ламу один ламу 2 сделали там от авторы континент бачинга тоже [24.18-0.00]  [5.76-NA] простой но гениальной идеи, тоже какой-то фреймворк. Вот они есть.
[Chunk start 4225.00s]: [0.00-10.14] гениальные идеи, тоже какой-то фреймворк. Вот они есть такие. И заключительно, что хотелось бы сказать, [10.14-17.02] а именно сделать какой-то определенный рекап, зачем мы это вообще вдруг все прошли на протяжении [17.02-24.84] всех этих пяти лекций, ведь что нас дальше ждет. Мы в целом поговорили на самой первой лекции, что [24.84-0.00]  [5.06-NA] там генеративный искусственный интеллект это круто есть определенные понятно дело грехи
[Chunk start 4250.00s]: [0.00-2.66] что там генеративный искусственный интеллект это круто, [3.10-5.78] есть определенные, понятное дело, грехи на текущий момент, [5.92-7.42] есть какие-то нерешенные у него проблемы, [8.02-13.06] но что немаловажно, то, что есть определенные риски, [13.38-18.56] которые являются не просто рисками, что мы там денежку какую-то потеряем, [18.56-25.98] но это там топ-2 рисков по версии там Международного экономического форума, [26.58-28.34] такой самой большой, наверное, организации, [28.48-0.00]  [1.64-NA] которые там доклялись.
[Chunk start 4275.00s]: [0.00-8.58] форума такой самый большой организации которые там так или иначе занимается тем что подсвечивает [8.58-12.48] какие-то риски мировые именно к чему все прислушиваются там самой большой компании [12.48-19.86] так далее то есть это очень авторитетный источник да и эти риски связаны с галлюцинациями считают [19.86-26.70] сильно не просто галлюцинациями но и дезинформации считают очень опасными и очень важно нам [26.70-0.00]  [3.30-NA] нам добросовестно и очень качественно мерить в таком случае алан.
[Chunk start 4300.00s]: [0.00-5.10] и очень важно нам добросовестно и очень качественно мерить в таком случае LLM. [5.10-11.40] Мы поговорили на второй лекции про то, что используют вообще в рамках обучения LLM, [11.40-19.26] и какие модификации делают над LLM-ками, которые так или иначе влияют на работу самой LLM, [19.26-25.62] и их нужно учитывать. Вообще в целом, что нужно уметь все правильно измерять, [25.62-0.00]  [4.36-NA] нужно не просто вслепую бросаться на первый попавшийся бичмарк, но уметь
[Chunk start 4325.00s]: [0.00-5.40] измерять нужно не просто вслепую бросаться на первый попавшийся бичмарк но уметь как-то его [5.40-12.34] оценить оценить особенности нашей лампки что она может что не может не используйте где она не может [12.34-21.00] она там обучить ее тоже определенным образом и до рассмотрели модальности как следующий шаг развития [21.00-28.20] общих целых всех и лампок некоторые нюансы связанных с их обучениями о том что модальность [28.20-0.00]  [1.80-NA] это не просто какой-то блокбокс.
[Chunk start 4350.00s]: [0.00-5.04] нюансы связанных с их обучениями о том что модальность это не просто какой-то блокбокс [5.04-12.72] но это все-таки состоящий из каких-то различных энкодеров проекторов там кросса теншин в истории [12.72-19.56] это что их качество измерить это достаточно большой челлендж но и сегодня поговорили в [19.56-28.50] целом о каких-то методах оптимизации которые так или иначе используются и которые могут [28.50-0.00]  [1.50-NA] могут нам так или иначе помочь.
[Chunk start 4375.00s]: [0.00-8.64] и которые могут нам так или иначе повлиять на картину что мы можем увидеть что там хайф модельки [8.64-13.82] которые мы загружаем там с ген фейса они могут отличаться того что мы это можем увидеть на [13.82-22.26] сервисе и поэтому от этого нам собственно правильно как надо строить наше тестирование все дальнейшие [22.26-0.00]  [5.12-7.74] Следующие лекции проведут Ваня Подпружников и Степан Пономарев, мои коллеги.
[Chunk start 4400.00s]: [0.00-4.10] Степан Подпружников и Степан Пономарев, мои коллеги. [4.68-10.02] В дальнейшем вас ждет достаточно увлекательное и долгое путешествие мир раков, агентов, [10.44-18.16] и не просто ЛЛМ, а так таковой, но и их применений, как они правильно используются, [19.24-23.00] как их правильно использовать, как узнать, что они правильно используются. [25.40-0.00]  [5.88-NA] и проговорим про какие-то реальные истории жизни.
