[550.00-569.00] Всё, что я могу сказать, я могу сказать только на этом. [569.00-550.00]  [557.58-559.64] Всем привет. Прошу прощения за задержку. Давайте наступать. Скажите, пожалуйста, меня слышно, видно? [560.62-NA] Да, слышно, видно.
[3800.00-3805.88] Причем жадная в данном случае оптимальная политика, например, Q со звездой. [3809.88-3811.80] Кстати, не обязательно. [3812.10-3817.24] Если у вас есть какая-то текущая оптимация Q, вы можете действовать жадно по отношению к ней, [3817.42-3821.54] но тут зависит от того, насколько ваша оптимация далека от реальности. [3821.68-3825.48] Если она близка, то вы будете действовать около оптимальной или оптимальной. [3825.48-3829.58] Если она плоха, то вы можете действовать сколько угодно неоптимально. [3829.64-3800.00]  [3801.00-3802.00] Важно считать, что в этом случае мы должны поддержать и поддержать общую связь между людьми. [3802.00-3803.00] В этом случае мы должны поддержать общую связь между людьми. [3803.00-3804.00] В этом случае мы должны поддержать общую связь между людьми. [3804.00-3805.00] В этом случае мы должны поддержать общую связь между людьми. [3805.00-3806.00] В этом случае мы должны поддержать общую связь между людьми. [3806.00-3807.00] В этом случае мы должны поддержать общую связь между людьми. [3807.00-3808.00] В этом случае мы должны поддержать общую связь между людьми. [3808.00-3809.00] В этом случае мы должны поддержать общую связь между людьми. [3809.00-3810.00] В этом случае мы должны поддержать общую связь между людьми. [3810.00-3811.00] В этом случае мы должны поддержать общую связь между людьми. [3811.00-3812.00] В этом случае мы должны поддержать общую связь между людьми. [3812.00-3813.00] В этом случае мы должны поддержать общую связь между людьми. [3813.00-3814.00] В этом случае мы должны поддержать общую связь между людьми.
[3825.00-3830.00] оптимально если она плохая то вы будете можете действовать сколь угодно не оптимально важно что [3830.00-3837.42] эта политика детерминированная она никогда никогда не исследует то вот можете ли вы предложить [3837.42-3846.30] политику которая лежит где-то посередине между этими но можно просто взять какую-то вероятность [3846.30-3852.80] и сложить эти две политики с вероятностями мы кидаем монетку с вероятностью 05 например делаем [3852.80-3825.00]  [3827.14-NA] действуем случайно, с вероятностью 0,5.
[3850.00-3855.26] То есть мы кидаем монетку с вероятностью 0,5, например, действуем случайно с вероятностью 0,5 жадно. [3856.30-3858.02] Да, да, абсолютно верно. [3859.66-3861.84] Это называется Эпсилон-жадный поликлип. [3861.84-3867.30] То есть мы вводим новый параметр Эпсилон, который буквально говорит нам о том, [3867.50-3870.16] что с вероятностью Эпсилона мы можем выбирать действие случайно, [3870.24-3872.90] а с вероятностью 1,5 Эпсилона выбирать действие жадно. [3873.76-3874.84] В целом, довольно неплохо. [3876.82-3850.00]  [3851.00-3853.46] плохо. Вопрос на засыпку. [3853.46-3854.62] Какая вероятность...
[3875.00-3884.44] вопрос на засыпку какая вероятность в этой политике выбрать жадное действие это [3884.44-3901.32] написано же один или вопрос не в этом вопрос в этом она смотрите один нас [3901.32-3875.00]  [3878.68-NA] Эпсилона, это то, что у вас есть здесь развилка, но еще...
[3900.00-3906.22] но смотрите один из акций на то что у вас есть здесь развилка но еще вы когда выбираете случайное [3906.22-3917.16] действие у вас есть вероятность выбрать это действие поэтому вероятность но один из их [3917.16-3925.92] сон до плюс плюс epsilon делить на н н количество возможных действий за это позицию да абсолютно [3925.92-3900.00]  [3903.68-NA] То есть вот такая у вас вероятность выбрать действие.
[3925.00-3936.62] Да, абсолютно верно. То есть вот такая у вас вероятность выбрать жадное действие в отношении к вашей текущей аппроксимации ку. [3937.08-3946.12] Еще вопрос. Можете ли вы придумать какую-то еще политику, которая стокастическая, но которая использует ку-функцию? [3949.78-3925.00]  [3933.88-3938.88] Опять же, можно несколько шагов делать аргументскую функцию.
[3950.00-3958.76] опять же можно несколько шагов делать ароматской функции а потом на ком-то на каждом кодам шаги [3958.76-3967.72] делать шаг случайно смотрите важно что политика определяет ваши действия в конкретном состоянии [3967.72-3975.36] то есть давайте зафиксируем состояние из из этого действия из этого состояния у вас есть есть один [3975.36-3950.00]  [3954.64-NA] Вот, например, вот это, например, вот это, например, вот это,
[3975.00-3978.14] А1, А2, А, А, Н. [3979.22-3983.26] Вот можете ли вы придумать такую политику, [3984.00-3985.48] которая зависит от состояния С? [3988.68-3991.10] Что она, с одной стороны, она случайная, [3991.42-3993.42] то есть она стахистическая, [3993.42-3997.76] с другой стороны, она используется как функция.
[4000.00-4013.26] дам подсказку вот у вас есть нейронка вы решаете задачу многоклассной классификации у вас есть [4013.26-4021.60] нейронка который возвращает вам логиты н штук по количеству классов вот что вы делаете после этого [4021.60-4000.00]  [4008.34-NA] можно также софтмакс навесить и все да да абсолютно верно сейчас я сотру
[4025.00-4033.06] все да да абсолютно верно сейчас я сотру чтобы это не фиксировалось так называем большинстве [4033.06-4039.94] политики берем softmax в определенном действие по состояниям и на самом деле еще есть некоторая [4039.94-4047.38] температура вот некоторые скейл фактор который в зависимости от своего значения приводит либо к [4047.38-4025.00]  [4032.62-NA] к детерминированной политике, либо к политике стократической.
[4050.00-4067.88] политики стокастической то есть вот сюда чем чем выше альфа тем короче если альфа стремится [4067.88-4050.00]  [4059.76-NA] к бесконечности, то вы сходитесь к юниферам распоряжения.
[4075.00-4077.58] к юниферам распоряжения. [4077.58-4085.72] — А можно еще разок про вероятность в эпсилон-гриде политики? [4085.72-4088.22] Почему там вероятность будет единица минус эпсилон плюс [4088.22-4089.82] эпсилон на n? [4089.82-4090.82] Откуда эпсилон-грид? [4090.82-4099.32] — Смотрите, у вас есть n действий, и, допустим, arg-максимум — это [4099.32-4100.32] первое действие. [4100.32-4104.98] Вероятность попасть в него можно попасть двумя способами.
[4100.00-4110.08] Вероятность попасть в него, можно попасть в его двумя способами. Вот на этом этапе подбросили монетку, [4110.08-4117.12] с вероятностью 1 минус эпсилон выпал этот арт-максимум Q функции, то есть вероятность 1 минус эпсилон. [4117.12-4123.82] Есть еще и второй вариант. Подбросили монетку, попали вот в эту ветку, дальше как бы там [4123.82-4100.00]  [4105.66-NA] разыгрывается n случайных величин вы по сути выбираете одно число из
[4125.00-4126.66] Н случайных величин. [4127.06-4129.22] Вы, по сути, выбираете одно число [4129.22-4129.62] из [4129.62-4132.48] из N [4132.48-4134.08] возможно. [4134.56-4135.82] Понятно, спасибо большое. [4136.14-4138.20] Вероятно, что это первое, как раз [4138.20-4140.18] один на N, [4141.18-4142.74] один на N, но она еще умножается [4142.74-4144.80] на вероятность того, что вы вообще попали в эту ветку. [4145.72-4146.46] Ну и получается [4146.46-4148.00] плюс Эпсиона делить на N. [4151.12-4151.68] Вот. [4153.46-4154.70] Эпсион жадной политики.
[4150.00-4155.40] Эпсилон жадной политики. [4155.40-4159.72] На самом деле пока это у нас будет first class citizen, мы [4159.72-4164.84] как бы будем жить в классе эпсилон жадных политик, [4164.84-4166.24] и посмотрим, почему нас это приведет. [4166.24-4173.08] Да, я уже выцветил. [4173.08-4150.00]  [4156.92-NA] Да, вот у нас есть два алгоритма пока.
[4175.00-4183.52] у нас есть два два алгоритма пока разную про мунтака вообще не говорим говорим только про [4183.52-4193.06] кулер нин против сарса целом на самом деле я уже сказал что кажется что первый алгоритм [4193.06-4203.02] более привлекательный но давайте разберем почему и какие есть преимущества и недостатки у них по [4203.02-4175.00]  [4176.98-NA] по сравнению друг с другом.
[4200.00-4209.02] преимущества и недостатки у них по сравнению друг с другом. Вот второй как раз, ему нужно, чтобы учиться, [4209.02-4216.88] нужно сэмплировать из своей же политики. У первого алгоритма такого нет ограничения, он может... [4216.88-4225.18] На пары S и A у нас вообще никаких ограничений нет. На S штрих у нас есть ограничение, что он должен [4225.18-4200.00]  [4204.06-NA] приходить из той среды, из динамик этой среды, которую мы оцениваем.
[4225.00-4231.30] приходить из той среды, из динамик этой среды, которую мы оцениваем, но остальное, как бы, [4231.30-4240.84] для кулернинга берем максимум, для SARS берем темпл из нашей же политики. Вот. А на самом деле здесь [4240.84-4248.28] есть фундаментальное различие. Обратите внимание, что первая стратегия может учиться с опыта, который [4248.28-4225.00]  [4226.36-4231.70] собран не ею. То есть буквально вы можете...
[4250.00-4256.28] То есть буквально вы можете стоять, у вас есть старший [4256.28-4259.78] брат, который не дает вам играть в компьютер. [4259.78-4263.48] Вы смотрите на то, как он играет, но можно сказать, [4263.48-4267.40] что вы, если вы смотрите, вы какие-то вещи запоминаете, [4267.40-4269.70] вы чему-то учитесь, но вы сами не играете, то есть [4269.70-4271.20] вы учитесь с чужого опыта. [4271.20-4276.42] Вот, здесь как бы во втором случае вам нужно играть [4276.42-4279.00] самостоятельно, чтобы учиться. [4279.00-4250.00]  [4250.98-NA] Более того,
[4275.00-4279.88] как бы во втором случае вам нужно играть самостоятельно чтобы учиться более того [4279.88-4287.62] более того а более того да можно учиться что [4287.62-4296.06] можно учиться если у вас есть два старших брата которые оба не дает вам играть компьютера но оба [4296.06-4304.50] игра можно смотреть на то как они играют оба и учиться как бы с двух разных политик вот две [4304.50-4275.00]  [4275.50-NA] разный полет, который, как правило, не пройдет.
[4300.00-4308.16] как бы с двух разных политик вот две разные политики которые собирают вам опыт но вы с [4308.16-4315.78] него вот по такой формуле учить учитесь а давайте чуть формализуем а здесь возникает принципиальное [4315.78-4323.54] различие между он полисе и о в полисе режимом он полисе режим он полисе лёдлинг это когда вы [4323.54-4300.00]  [4308.18-NA] вы учитесь учите политику мил ее
[4325.00-4330.50] Политику Mew учите с ее же опыта. [4330.50-4339.94] То есть вам нужно генерировать сэмплы с помощью этой же [4339.94-4343.40] политики, которую вы пытаетесь выучить. [4343.40-4345.18] А противовес офф-полисе. [4345.18-4350.12] Офф-полисе, как я говорил, мы учим некоторую таргет-полисе [4350.12-4325.00]  [4329.90-NA] с опыта, который собран в России.
[4350.00-4361.60] с опыта который собран другой политикой Mew. P называется target policy, Mew называется [4361.60-4373.88] behavior policy. Какие, опять же, примеры, помимо примера, который я уже привел, мы можем собрать [4373.88-4350.00]  [4356.12-NA] какие-то логи, чего бы то ни было, проанализировать их и пытаться...
[4375.00-4384.30] чего бы то ни было, проанализировать их и пытаться обучиться с ним, сделать такой имитейшн-лёрнинг. [4384.30-4393.16] Сами мы при этом ничего не сделали, просто логи собрали, но это не наша логия, конечно, но вот можем [4393.16-4403.24] делать такой имитейшн-лёрнинг. Можем учиться с несколькими полетами. Более конкретный пример, [4403.24-4375.00]  [4376.76-NA] можем...
[4400.00-4415.96] Более конкретный пример — можем учить жадную политику, действуя некоторой политикой, которая поощряет исследования. [4415.96-4427.76] То есть можем учить как раз жадную политику с помощью сэмплов из эпсилон-жадной политики.
[4425.00-4434.72] помощью сэмплов из эпсиложадной политики. Ну и последнее свойство это то, что мы можем [4434.72-4445.00] использовать наш опыт, предыдущий опыт взаимодействия. Прошу прощения. Вот, все это супер, на самом деле, пока это [4445.00-4425.00]  [4434.38-NA] такие стейты которые постулируют некоторые не то что парадигмы но по сути да по сути две ветки
[4450.00-4455.64] Некоторые, не то что парадигмы, но по сути, да, по сути, две ветки алгоритмов. [4456.40-4457.42] On-policy и off-policy. [4457.74-4460.54] Но мы поймем, на самом деле, в чем преимущество. [4461.32-4462.66] У нас дальше это будет проследоваться. [4462.78-4466.36] Какие алгоритмы on-policy, как можно попытаться их делать off-policy, [4466.90-4470.86] почему в policy он более sample-efficient, вот такие вещи. [4470.96-4475.62] Пока мы просто постулируем эти вещи и говорим про преимущества и недостатки. [4475.62-4479.96] Пока кажется, что в on-policy преимуществ нет, но это на самом деле не так.
[4475.00-4502.00] недостатки. Пока кажется, что в он-полисе преимуществ нет, но это на самом деле не так. Кулернинг, да, я про него уже говорил, теперь давайте его просто формализуем. У нас есть два параметра, параметр для нашей обстановленной политики и наш ленинградский. Обратите внимание, что мы тут забиваем на наше второе условие для
[4500.00-4512.42] условия для теоремы робинсона-монро то есть теперь у нас как бы есть и интернет визит эйшн [4512.42-4522.88] благодаря в оксано-жадной политики но но сумма альфа-квадратов конечно сумма квадратов альфы [4522.88-4500.00]  [4504.12-4506.70] графы не меньше бесконечности. Ну и ладно, как оно обычно бывает, у нас есть теория, [4506.70-4507.20] а есть практика.
[4525.00-4529.82] не меньше бесконечности ну ладно как она обычно бывает нас есть теория есть практика [4529.82-4540.28] инициализируем кушки какие какими-то дальше у нас прошел прошел процесс обратите внимание что [4540.28-4546.94] в reinforcement learning мы у нас нет фиксированно с это то есть когда мы начинаем мы начинаем [4546.94-4553.18] буквально бед без ничего мы посылаем агента который еще плохо обучен собирать как бы свой [4553.18-4525.00]  [4526.80-NA] первый опыт пытаться что-то сделать.
[4550.00-4556.02] агента который еще плохо обучен собирать свой первый опыт и пытаться что-то сделать среде также [4556.02-4563.38] здесь как бы собираем опыт и с него же в онлайне учимся все алгоритмы пока онлайн это как бы [4563.38-4569.04] особенность онлайн рейтинг в этот момент мы посмотрим что значит оффлайн рейтинг но пока [4569.04-4575.56] как бы собираем учимся собираем учимся соответственно что здесь происходит вот [4575.56-4550.00]  [4554.42-NA] здесь мы собираем наш опыт действуем с помощью эпсилон жадный
[4575.00-4583.20] происходит вот здесь мы собираем наш опыт действуем с помощью и всем жадной политики мил соля возвращает [4583.20-4590.84] награду и следующий стоит мы вот по такому правилу обновляем нашу текущую оценку функции [4590.84-4575.00]  [4589.10-NA] довольно довольно естественно да как мы уже выяснили кулер нинк учиться учат курса звездой
[4600.00-4610.28] Да, как мы уже выяснили, Q-learning учит курсом звездой, при этом используя сэмплы с другой политикой. [4610.28-4626.72] Если он учит курсом звездой, то в какой-то момент, когда Q-K будет достаточно близко к курсу звездой, мы сможем найти P-звездой в нашу оптимальную политику. [4626.72-4600.00]  [4602.96-NA] То есть здесь политика в явном виде не участвует.
[4625.00-4631.90] нашу как бы оптимальную политику. Здесь политика в явном виде не участвует, мы учим по функции, [4631.90-4640.84] но из по функции мы сможем восстановить нашу политику. Сарса, да, пожалуйста. В чем суть [4640.84-4651.34] второго пункта? В чем суть второго пункта? Объекты. Просто типа здесь у вас агент что-то делает, [4651.34-4625.00]  [4629.62-NA] здесь вам среда возвращает это
[4650.00-4657.92] вас агент что-то делает здесь вам среда возвращает это это короче с инженерной [4657.92-4664.10] точки зрения здесь на смысле с того как вы это имплементирует и здесь вы вызовете что-то типа [4664.10-4650.00]  [4658.70-4663.44] а полисе дот сэмпл а здесь вы вызовите n в дот степ
[4675.00-4685.00] — А если просто получим награду и следующее состояние? [4685.00-4690.00] — Да, абсолютно верно. [4690.00-4691.00] — Спасибо. [4691.00-4698.20] — Сарс, почти то же самое, те же параметры, инициализируем [4698.20-4704.96] кушки, только здесь у нас два вызова.
[4700.00-4720.50] Только здесь у нас два вызова policy.sample, dot sample на s, и sample s'. [4720.50-4728.80] И только после этого, когда мы это сделали, мы оцениваем q-функцию. [4728.80-4700.00]  [4701.00-4700.00] И все это было вне зоны, вне зоны, вне зоны. [4701.00-4702.00] Появился в этом случае, как правило, неизвестный. В этом случае, если бы мы не были виноваты в том, что [4702.00-4703.00] мы не могли бы выяснить, что это было, то мы бы не могли [4703.00-4704.00] бы не ответить. [4704.00-4705.00] Но мы не могли бы не ответить. [4705.00-4706.00] Мы не могли бы не ответить. [4706.00-4707.00] Мы не могли бы не ответить. [4707.00-4708.00] Мы не могли бы не ответить. [4708.00-4709.00] Мы не могли бы не ответить. [4709.00-4710.00] Мы не могли бы не ответить. [4710.00-4711.00] Мы не могли бы не ответить. [4711.00-4712.00] Мы не могли бы не ответить. [4712.00-4713.00] Мы не могли бы не ответить. [4713.00-4714.00] Мы не могли бы не ответить. [4714.00-4715.00] Мы не могли бы не ответить. [4715.00-4716.00] Мы не могли бы не ответить. [4716.00-4717.00] Мы не могли бы не ответить. [4717.00-4718.00] Мы не могли бы не ответить. [4718.00-4719.00] Мы не могли бы не ответить. [4719.00-4720.00] Мы не могли бы не ответить. [4720.00-4721.00] Мы не могли бы не ответить. [4721.00-4722.00] Мы не могли бы не ответить. [4722.00-4723.00] Мы не могли бы не ответить.
[4725.00-4747.74] это сделали мы оцениваем куфунсу вот соответственно а штрих мы в среду уже не посылаем хотя хотя хотя [4747.74-4725.00]  [4726.16-4726.52] Хотя, хотя, хороший вопрос. [4730.16-NA] Нет, наверное, все-таки не посылаем, потому что...
[4750.00-4777.54] не посылаем потому что это интересно вопрос а штрих мы на следующем на следующем этапе посылаем наверное [4777.54-4750.00]  [4751.00-NA] э.
[4775.00-4786.94] посылаем наверное да я думаю что чтобы сэкономить как бы 11 одно сомплирование имеет смысл послать [4786.94-4795.94] поскольку мы здесь обновляем только для с а короче поскольку мы обновляем только для с а для с 3h3 [4795.94-4804.88] h3 ничего не изменит мы можем послать этот сэмпл в среду но это уже как бы детали оптимизации можно [4804.88-4775.00]  [4776.00-NA] поиска.
[4800.00-4810.88] этот сэмпл в среду но это уже как бы детали оптимизации можно формуле как будто новое [4810.88-4819.14] новый реворд и новое состояние не нужно зачем тогда посылать среду но да ну смотрите это правда но у [4819.14-4800.00]  [4809.84-NA] у вас же на самом деле что происходит вы были в с сделать действие и перешли в с3
[4825.00-4834.16] «Сделали действие A, перешли в S-штрих». [4834.16-4836.52] Дальше, ну как бы вы в новом состоянии, вам нужно будет [4836.52-4839.62] здесь сделать какой-то H-штрих. [4839.62-4847.24] Вопрос в том, сколько вы посамплируете. [4847.24-4825.00]  [4830.76-NA] Вы будете ли высупливать второй раз из политики здесь?
[4850.00-4860.58] Вы можете выселить второй раз из политики здесь. [4860.58-4863.18] Такое ощущение, что нет, что можно после этого... [4863.18-4867.20] То есть буквально схлопывается после этого вот этот и [4867.20-4870.54] вот этот пункт, они сливаются в один. [4870.54-4872.18] Вы не будете после этого селпли. [4872.18-4850.00]  [4857.80-NA] Я смог ответить на вопрос?
[4875.00-4881.32] Я смог ответить на вопрос? Или запутал? [4883.32-4887.04] Ну, я, если честно... Так по итогу, ходим второй раз? [4890.00-4895.16] Смотрите, у нас онлайн-вызаимодействие со средой, поэтому мы в любом случае второй раз пойдем. [4895.74-4899.00] Нет, вопрос в том... [4901.70-4875.00]  [4881.00-NA] А, ну, короче, но нам как будто не нужно, потому что мы
[4900.00-4905.96] А, ну, короче, но нам как будто не нужны результаты эти. [4907.96-4912.44] Ну, смотрите, на следующем этапе у нас уже получается как бы в с-штрих, аж-штрих. [4912.88-4918.24] Чтобы второй раз не сэмплировать из политики, возможно, мы можем переиспользовать результаты предыдущего сэмплирования. [4919.18-4924.04] Вот о чем мои размышления были. [4924.04-4900.00]  [4904.40-4905.96] А у нас же Q уже другая будет, ну Q плюс один, то есть по идее там и...
[4925.00-4931.82] у нас же кожа другая будет куплюсь один то есть по идее там и сэмплировать в другом [4931.82-4940.30] изменится к в одном состоянии из предыдущего в последнем в паре состоянии действия в штрих [4940.30-4950.48] а штрих она не изменится так что ладно мне кажется иногда бывает рассказываешь рассказываешь просто [4950.48-4925.00]  [4927.24-4929.54] И когда ты задаешь себе вопрос и начинаешь рассуждать об этом вслух, то он как бы не может быть ответственным.
[4950.00-4953.30] просто задаешь себе вопрос и начинаешь рассуждать об этом вслух. [4953.30-4962.10] В целом, теоретические гарантии не сломаются, если мы просамплируем второй раз. [4962.10-4966.68] Единственное, что оно будет в конечной ситуации, когда нам обязательно надо будет [4966.68-4971.62] стамплировать второй раз. Поскольку если Q это у вас нейронка, например, то вот после этого [4971.62-4976.44] обновления у вас потенциально изменится Q-функция, как правильно было замечено, [4976.44-4950.00]  [4953.54-NA] во всех состояниях и действиях. Поэтому стамплировать
[4975.00-4979.00] функции как правильно было замечено во всех состояниях и действия поэтому [4979.00-4988.96] стамплировать нужно будет второй раз ссоре за суету который навел нужно будет можно [4988.96-4993.84] еще вопрос если кейт они рамка мы армагдером или вот софт макс температуры [4993.84-5002.54] это будет на следующем занятии краткий ответ мы берем в такой обосновке мы берем арт макс [5002.54-4975.00]  [4975.00-NA] Однако, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате, в результате
[5000.00-5011.28] мы берем в такой постановке мы берем artmax есть другая постановка задачи reinforcement learning [5011.28-5023.98] так называемые энтропии энтропии регулировать reinforcement learning там можно будет брать [5023.98-5000.00]  [5003.98-NA] цеплировать и сапмакса
[5025.00-5039.64] из софтмаркса так то еще как бы вот если нас сакса вспомни что она была вдохновлена уравнением [5039.64-5051.12] бэллмана на самом деле уравнение бэллмана здесь у нас здесь мотожидание по s3 h3 вот но что что в [5051.12-5025.00]  [5028.88-NA] Но в целом это просто последовательность от ожидания по...
[5050.00-5058.86] Что в целом это просто последовательность над ожиданием по h3 и по h3. [5059.44-5065.42] Ну давайте, чтобы дисперсию сбить, поскольку у нас конечное множество состояний, [5066.94-5073.68] конечное множество действий, давайте вместо того, чтобы брать оценку по одному сэмплу, [5073.68-5050.00]  [5056.32-NA] брать оценку по... брать в отожидание, по-честному брать в отожидание от нашего...
[5075.00-5083.32] по выбрать в от ожидании по честно убрать на ожидании от наш политика можно поскольку это [5083.32-5091.28] дискретное распределение можно просто с определенными весами просуммировать ваше значение по функции [5091.28-5075.00]  [5088.62-NA] будет называться алгоритм экспертно вот такой вопрос у вас есть два алга
[5100.00-5119.52] Вот такой вопрос. У вас есть два алгоритма — кулернинг и SARS. Как вы думаете, какой алгоритм к какому... к какой политике сойдет? [5119.52-5100.00]  [5110.48-NA] Окулежник тоже не подходит.
[5125.00-5136.00] Кулерник, наверное, сойдется к оптимальному пути, который ближе к лифу в данном вопросе. [5136.00-5140.00] А SARS-CoV-2 более своего уровня. [5140.00-5125.00]  [5127.50-5127.58] Старция сойдется вот к такой безопасной политике. [5128.00-5128.08] Почему так? [5137.28-5140.00] Потому что, на самом деле, ну, кулерник учит курсу звездой, соответственно, ну, здесь очевидно... А, я про среду-то...
[5150.00-5159.36] соответственно здесь очевидно я проследу ты сказал вот такой как бы лабиринтик без без слабее без [5159.36-5167.94] самих коридоров все клетки доступны вам нужно из вот этой точки попасть в эту но есть у вас обрыв [5167.94-5174.04] если вы вдруг по бы попадаете то вы получаете награду минус то и возвращаетесь начальное [5174.04-5150.00]  [5153.02-5156.02] состояние, если... И за каждое время, проведенное в среде...
[5175.00-5181.72] И за каждое время, проведенное в среде, вы получаете еще минус единичку. [5183.72-5189.28] То есть на самом деле несложно тут посчитать, что оптимальная награда это минус 13. [5189.28-5202.28] То есть вам минимум 13 шагов нужно пройти, чтобы добраться из точки С в терминальное состояние. [5203.68-5175.00]  [5177.00-NA] соответственно.
[5200.00-5202.50] в терминальном состоянии, [5203.18-5204.22] вот, соответственно, [5206.00-5206.50] типа, это [5206.50-5208.60] оптимальные награды, которые вы можете [5208.60-5210.58] достигнуть. Ну и, да, правильно, [5210.82-5212.78] кулерник сойдется к кусу звездой, [5212.86-5214.98] и с кусу звездой мы можем восстановить оптимальную политику, [5215.42-5216.20] сойдемся к [5216.20-5217.50] к [5217.50-5220.10] вот этому кратчайшему пути. [5220.38-5222.40] Почему Сарса сойдется [5222.40-5224.10] к безопасному пути? [5224.10-5226.30] Потому что, когда вы учите [5226.30-5228.38] Сарсу, вы, поскольку [5228.38-5200.00]  [5201.60-NA] чтобы выучить ее с помощью.
[5225.00-5232.92] когда вы учите саксу вы поскольку вы учите ее с помощью эпсилон жадной политики вы по сути [5232.92-5240.30] ограничиваете пространство политик ограничить пространство политик который вы можете выучить [5240.30-5249.36] вот вы говорите что политика бы мы теперь живем в мире где запрещены как бы детерминированной [5249.36-5225.00]  [5230.20-NA] политики есть только самые детерминированные.
[5250.00-5256.30] Есть только самые детерминированные, политика с минимальной [5256.30-5261.76] энтропией, которую вы можете получить, это политика, [5261.76-5265.44] которая просто эпсил-жадная. [5265.44-5276.32] Соответственно, еще как бы у SARS, в SARS заложено вот [5276.32-5279.16] это отвращение к риску, что если он пройдет здесь, [5279.16-5250.00]  [5250.84-NA] У него есть...
[5275.00-5287.42] Вот это отвращение к риску, что если он пройдет здесь, у него есть, из-за того, что политика стократическая, есть ненулевая вероятность прыгнуть в лаву, прыгнуть с обрыва. [5287.94-5295.80] Соответственно, он в итоге выбирает самый безопасный путь, который только возможен, чтобы как раз минимизировать эти риски. [5295.80-5275.00]  [5284.18-NA] кулер нинг кулер нинг там таких рисков не зашито поэтому можно выучить оптимальную политику
[5300.00-5305.06] там таких рисков не зашито, поэтому можно выучить оптимальную [5305.06-5310.82] политику, хотя и важно, что на протяжении этого взаимодействия, [5310.82-5313.50] поскольку взаимодействуете вы с помощью оптимозаданной [5313.50-5317.54] политики, у вас есть вероятность прыгнуть с обрыва, достаточно [5317.54-5320.54] большая, если вы проходите особенно к нему очень близко. [5320.54-5300.00]  [5309.46-NA] Соответственно, у этого есть такой парадокс, что
[5325.00-5332.00] У этого есть такой парадокс, что... [5332.00-5339.48] Так, я свое художество смотрю. [5339.48-5325.00]  [5326.00-5327.00] Нет. Сейчас, мальчишка. [5327.00-5328.00] Я не могу. [5328.00-5329.00] Я не могу. [5329.00-5330.00] Я не могу. [5330.00-5331.00] Я не могу. [5331.00-5332.00] Я не могу. [5332.00-5333.00] Я не могу. [5333.00-5334.00] Я не могу. [5334.00-5335.00] Я не могу. [5335.00-5336.00] Я не могу. [5336.00-5337.00] Я не могу. [5337.00-5338.00] Я не могу. [5338.00-5339.00] Я не могу. [5339.00-5340.00] Я не могу. [5340.00-5341.00] Я не могу. [5341.00-5342.00] Я не могу. [5342.00-5343.00] Я не могу. [5343.00-5344.00] Я не могу. [5344.00-5345.00] Я не могу. [5345.00-5346.00] Я не могу. [5346.00-5347.00] Я не могу. [5347.00-5348.00] Я не могу. [5348.00-5349.00] Я не могу. [5349.00-5350.00] Я не могу. [5350.00-5351.00] Я не могу. [5351.00-5352.00] Я не могу. [5352.00-5353.00] Я не могу.
[5350.00-5376.00] Да, у этого есть довольно не совсем интуитивные последствия. [5376.00-5350.00]  [5379.98-NA] Однако, если мы не будем виноваты в том, что мы не получили от этого отчаяния, то мы не сможем выяснить, что мы получили от этого отчаяния.
[5375.00-5404.98] Эффективные последствия?
[5400.00-5427.06] Так, ладно, какая-то странная тема. [5427.06-5400.00]  [5402.94-NA] Извините, у меня что-то случилось с двумя двумя двумя двумя двумями.
[5425.00-5430.20] Так, извините, у меня что-то случилось с Zoom. [5435.20-5438.42] Я не могу найти свой суток. [5444.86-5447.66] Поэтому не могу продолжить презентацию сейчас с минуту.
[5450.00-5467.00] А самое время сделать небольшой перерывчик? [5467.00-5469.00] Да, давайте сделаем перерыв. [5469.00-5472.00] В целом, как раз у нас полтора часа прошло. [5472.00-5473.00] Хорошая затея. [5473.00-5450.00]  [5457.00-NA] Вот и вернемся, давайте через десять минут всех в душе.
